best_fitness,avg_fitness
2.0006024670762777E9,2.018347114547472E8
2.0006024670762777E9,1.2473431921881392E9
2.0006024670762777E9,1.3326248683215885E9
2.000701814495205E9,1.1178864067071567E9
2.0007025083019135E9,1.3621365825755544E9
2.0007025083019135E9,1.2826951264161823E9
2.0007025083019135E9,1.2121967772125802E9
2.0008026659467762E9,1.4974635403086941E9
2.0008026659467762E9,1.3327753667643888E9
2.0008026659467762E9,1.2680321360786405E9
2.0008026990359273E9,1.1975639918498278E9
2.0009023896170855E9,1.1886156305259087E9
2.000902699606038E9,1.0328507080408427E9
2.0009027042657828E9,1.2328755939667706E9
2.0010027042657828E9,1.0328959132733635E9
2.0010027042657828E9,1.3682125021339066E9
2.0010027042657828E9,1.073942350537913E9
2.0010027042657828E9,1.4977396181848328E9
2.0010036019495327E9,1.5624829577666788E9
2.0011032070361824E9,1.268297890537566E9
2.0011032070361824E9,1.1683430125578303E9
2.0011032070361824E9,1.1888613908701682E9
2.0011036019495327E9,1.2683682370760472E9
2.0012041411526484E9,1.483141467925288E9
2.0012041411526484E9,1.2331265478462214E9
2.0012041411526484E9,9.684483629763944E8
2.0012041411526484E9,8.947065895603749E8
2.0012041411526484E9,8.299882154196631E8
2.0012041411526484E9,8.389518993128669E8
2.0012041411526484E9,1.1537250501937118E9
2.0012041411526484E9,6.652749389666226E8
2.0012041411526484E9,9.537449629277008E8
2.0012041411526484E9,1.0242636043332322E9
2.0013035832776973E9,1.2184784016088862E9
2.0013035832776973E9,1.153755443159019E9
2.0013045523874252E9,1.0537853350455118E9
2.0014045704699633E9,1.0890570728152022E9
2.0014045704699633E9,9.743286960126636E8
2.0014045704699633E9,1.2037902102643936E9
2.0014045704699633E9,1.0743486513118117E9
2.0014045704699633E9,1.1243438339207587E9
2.0014045704699633E9,1.0243286498831068E9
2.0014045704699633E9,9.038354643215067E8
2.0014045704699633E9,1.1538807250921857E9
2.0014045704699633E9,1.0096407637122715E9
2.0014045704699633E9,1.5480906771221442E9
2.0014045704699633E9,1.189162629663559E9
2.0014045704699633E9,1.1833624383987677E9
2.0014046383525078E9,1.283422638760889E9
2.0014046383525078E9,1.009700937887438E9
2.0015046974067993E9,9.097010359630286E8
2.0015046974067993E9,9.597209705967357E8
2.0015046974067993E9,1.368689420321097E9
2.0015046974067993E9,8.097310205804697E8
2.0015046974067993E9,1.1892527135278583E9
2.0015046974067993E9,1.2097810853432612E9
2.0015046974067993E9,1.6040214185118089E9
2.0015046974067993E9,1.239267854035935E9
2.0015046974067993E9,8.950026805760946E8
2.0015046974067993E9,1.124559608528856E9
2.0015046974067993E9,1.1392728297194166E9
2.0015046974067993E9,1.554051317699819E9
2.001604372891129E9,1.304031160437233E9
2.00160446024455E9,9.540711452870362E8
2.00160446024455E9,1.0040662508750257E9
2.00160446024455E9,8.098260652921038E8
2.00160446024455E9,1.1950977547898211E9
2.0017051266234734E9,1.1393379311050384E9
2.0017051266234734E9,1.2950929525571198E9
2.0017051266234734E9,1.0393429842991717E9
2.0017051266234734E9,1.239322840229134E9
2.0017051266234734E9,8.745944417304007E8
2.0017051266234734E9,9.746396107115377E8
2.0017051266234734E9,1.1745943841024196E9
2.0017051266234734E9,1.333593008474745E9
2.0017051266234734E9,1.0541212727936901E9
2.0017051266234734E9,1.115661194864613E9
2.0017051266234734E9,1.404146285077726E9
2.0017051266234734E9,1.089407757146329E9
2.00180468624455E9,1.304226310967577E9
2.001904972378064E9,1.0894529858566725E9
2.001904972378064E9,1.309991382776474E9
2.001904972378064E9,9.099861644754187E8
2.001904972378064E9,1.18950794621633E9
2.001904972378064E9,1.2395532786523337E9
2.001904972378064E9,1.2395782652711399E9
2.001904972378064E9,1.2748449509915538E9
2.001904972378064E9,1.2543365728324084E9
2.001904972378064E9,1.1396183235263338E9
2.0019056691335356E9,1.5838884742807543E9
2.0019056691335356E9,1.28963855032626E9
2.0019056691335356E9,8.80660094389369E8
2.0020063755119433E9,1.2248901359078877E9
2.0020063755119433E9,8.864702472990863E8
2.0020063755119433E9,1.2601768610956337E9
2.0020063755119433E9,7.512086513409805E8
2.0020063755119433E9,1.2044470806494071E9
2.0020063755119433E9,1.1602269176840525E9
2.0020063755119433E9,6.954835835277493E8
2.0020063755119433E9,8.807553040748106E8
2.0020063755119433E9,1.0012735844446504E9
2.0021050395410297E9,1.1692303790880985E9
2.0021050395410297E9,9.808054378134184E8
2.0021050395410297E9,8.807654025959202E8
2.0021050395410297E9,1.1955437587894468E9
2.0021050395410297E9,1.1808106064430003E9
2.0021050395410297E9,1.2660571949139807E9
2.0021050395410297E9,8.365402460816833E8
2.0021050395410297E9,7.807653429956148E8
2.0021056691335356E9,1.0545220259793742E9
2.0021056691335356E9,9.808554070844336E8
2.0021056691335356E9,1.1808306240110052E9
2.0021056691335356E9,9.750555005546595E8
2.0021056691335356E9,1.3308454878512268E9
2.0021056691335356E9,1.160332048350042E9
2.0022050395410297E9,1.3251206194627423E9
2.0022050395410297E9,1.460367469884874E9
2.0022055831437473E9,1.0603822419171441E9
2.0022055831437473E9,1.216166990492806E9
2.0022055831437473E9,1.1251506890618498E9
2.0022055831437473E9,1.0604023264629335E9
2.0022065026345854E9,1.2309055499591968E9
2.0022065026345854E9,1.0661523251985766E9
2.0022065026345854E9,1.3751456338437045E9
2.0022065026345854E9,1.430955588872538E9
2.0022065026345854E9,1.1456889958144948E9
2.0022065026345854E9,8.809454763257883E8
2.0022065026345854E9,9.367005093096688E8
2.0022065026345854E9,1.0661971416286552E9
2.0022065026345854E9,1.3104271826775646E9
2.0023059381037247E9,1.2752006284870055E9
2.0023059381037247E9,7.719871665895123E8
2.0023059381037247E9,1.1809604859679048E9
2.0023059381037247E9,1.0399588303525484E9
2.0023065026345854E9,1.19572394254908E9
2.0023065026345854E9,1.1252204928833165E9
2.0023065026345854E9,1.3810407475486329E9
2.117405467108003E9,1.2162874222349882E9
2.117405467108003E9,9.335769866170717E8
2.1175046888677568E9,1.2368107459930506E9
2.1175046888677568E9,1.3573390759123416E9
2.1176067222239223E9,1.204110581812823E9
2.1177067222239223E9,1.3476935748654792E9
2.1178041019576116E9,1.2887152857458663E9
2.1178041019576116E9,7.413221192015584E8
2.1179041019576116E9,1.5445803580792775E9
2.1179041019576116E9,1.2356270161241336E9
2.1179041019576116E9,1.6881688862573884E9
2.118005268959429E9,1.2940341346473787E9
2.118005268959429E9,1.4940591154183137E9
2.118005268959429E9,1.279276002228375E9
2.118005268959429E9,1.164547043044995E9
2.118005268959429E9,1.579250471839156E9
2.118005268959429E9,1.1145577044644752E9
2.118005268959429E9,1.2351306611559958E9
2.118005268959429E9,1.2293556247084193E9
2.118005268959429E9,1.120407456468838E9
2.118005268959429E9,1.0146373043465145E9
2.118005268959429E9,1.1703976772215621E9
2.1181057636434698E9,1.1998888319520144E9
2.118207858146624E9,1.4589576550858037E9
2.118207858146624E9,1.3351955517283237E9
2.118207858146624E9,1.5237461369703403E9
2.1183078856756897E9,1.5942443891878057E9
2.1183078856756897E9,1.3057641882094033E9
2.1183078856756897E9,1.3443299329738057E9
2.1184085384087214E9,1.3705825975793583E9
2.1185086239396706E9,8.912269304283664E8
2.1185086239396706E9,1.1149834860314233E9
2.1185086239396706E9,8.707583041640898E8
2.1185086239396706E9,1.256005253754765E9
2.1185086239396706E9,1.3945508627181315E9
2.1185086687339818E9,1.4798326493143003E9
2.1185086687339818E9,1.0913523263305082E9
2.1186087274840698E9,1.2856375498476872E9
2.1186087274840698E9,9.766896021049175E8
2.1186087274840698E9,1.30620086653587E9
2.1186087274840698E9,1.0562159802800255E9
2.1186087274840698E9,1.2594343990902362E9
2.1187089800361383E9,1.441507924386943E9
2.1187089800361383E9,1.3710147593340373E9
2.1187089800361383E9,1.0210196424657959E9
2.1187089800361383E9,9.35747612086586E8
