best_fitness,avg_fitness
2.1187089800361383E9,1.2267843871869407E9
2.1187089800361383E9,1.415294823040676E9
2.1187089800361383E9,1.2915678817447753E9
2.1187089800361383E9,1.5063264853818188E9
2.1187089800361383E9,1.3210595438204362E9
2.1187089800361383E9,1.076834657863011E9
2.1187090579197786E9,1.3858080609318345E9
2.1187090579197786E9,1.1915981203556113E9
2.1187090579197786E9,1.1358380541043518E9
2.1188090579197786E9,1.3416378708177361E9
2.1188090579197786E9,9.916780153533751E8
2.1188090579197786E9,1.191663099130126E9
2.1188092508047473E9,9.769447884139929E8
2.1188092508047473E9,1.1916880508476772E9
2.1188092508047473E9,1.321189605505393E9
2.119307465045926E9,1.315474917523218E9
2.119307465045926E9,8.180311336638782E8
2.119307465045926E9,9.859630767469925E8
2.119307465045926E9,9.885794652407396E8
2.1194090598261375E9,1.327099699194282E9
2.1194090598261375E9,1.156595970517683E9
2.1194090598261375E9,1.2771599278663864E9
2.1194090598261375E9,1.450851596748075E9
2.1194090598261375E9,1.5624463647729125E9
2.1194090598261375E9,1.3270945983063781E9
2.1194090598261375E9,1.0713944672413244E9
2.1195111368112442E9,1.27137473178887E9
2.1195111368112442E9,1.0156700971141608E9
2.1195111368112442E9,1.3183161104061377E9
2.1195111368112442E9,6.978133977372704E8
2.1195111368112442E9,1.2420881655204303E9
2.1195111368112442E9,1.024120888347201E9
2.1195111368112442E9,9.33139525224218E8
2.1195111368112442E9,1.0536130784931672E9
2.1195111368112442E9,1.4511217535902596E9
2.1195111368112442E9,1.2274647270361295E9
2.1195111368112442E9,1.0036984098604866E9
2.1195111368112442E9,1.0036983275438442E9
2.1195111368112442E9,4.979483272486166E8
2.1195111368112442E9,1.2684715586942148E9
2.1195111368112442E9,1.1537180714206648E9
2.1195111368112442E9,9.979480632529538E8
2.1195111368112442E9,8.832604907111266E8
2.1195111368112442E9,1.2332255841841495E9
2.1195111368112442E9,8.512219483263016E8
2.1195111368112442E9,9.979938372842836E8
2.1195111368112442E9,9.570021695577431E8
2.1195111368112442E9,1.177475073214801E9
2.1196118819619205E9,1.3127714744411676E9
2.1196118819619205E9,1.4070630046130586E9
2.1197116829410896E9,1.0480685904766719E9
2.1197116829410896E9,7.981343312167788E8
2.1197116829410896E9,9.775406500851215E8
2.1197116829410896E9,1.1334003830029666E9
2.1197118819619205E9,1.0982241969215736E9
2.1197118819619205E9,1.1219770267573526E9
2.1198119986897426E9,1.3245274792416797E9
2.1198119986897426E9,1.274567527016717E9
2.1198119986897426E9,1.2425406349678195E9
2.1198119986897426E9,1.3073189122630303E9
2.1198119986897426E9,1.5483702525690017E9
2.1198119986897426E9,1.177857456131866E9
2.1198119986897426E9,9.188891637227312E8
2.1198119986897426E9,1.3188434653413491E9
2.1198119986897426E9,9.009213823296461E8
2.1198119986897426E9,8.86152838764041E8
2.1198119986897426E9,9.951668814298776E8
2.1198119986897426E9,7.861428338409449E8
2.1198119986897426E9,9.278875552772312E8
2.1198119986897426E9,9.484201967465327E8
2.1198119986897426E9,9.566912981100887E8
2.1198119986897426E9,1.1394020719238167E9
2.1198119986897426E9,7.919784936564281E8
2.1199103895769384E9,1.4869355931225321E9
2.1199103895769384E9,9.394468481692187E8
2.1199103895769384E9,1.1304778424087474E9
2.1199111043184536E9,1.209969725940764E9
2.1199111043184536E9,1.3067062616934743E9
2.1199111043184536E9,1.0952220456803687E9
2.1200107701469789E9,1.6779670567290168E9
2.1200108448838305E9,1.0747883306039774E9
2.1201107701469789E9,8.747786081536913E8
2.1201107701469789E9,1.2543155800216641E9
2.1201107701469789E9,9.863281212133335E8
2.1201107701469789E9,1.001076730532223E9
2.1201107701469789E9,1.0453270609570625E9
2.1201107701469789E9,1.2100754636003351E9
2.1201107701469789E9,1.3568113972785003E9
2.1201107701469789E9,1.277339580860283E9
2.1201107701469789E9,1.365809856501742E9
2.1201107701469789E9,9.773597359311221E8
2.1201107701469789E9,1.0986109343186889E9
2.1201107701469789E9,9.863887680648483E8
2.120110917340462E9,7.600996870609426E8
2.120110917340462E9,1.4044058540551481E9
2.1201120802081225E9,1.3396167232065017E9
2.1201120802081225E9,8.281927861434814E8
2.1201120802081225E9,1.1864181902276387E9
2.1201120802081225E9,7.421979871803483E8
2.1201120802081225E9,7.396722739891331E8
2.1201120802081225E9,1.3986809962161164E9
2.1201120802081225E9,4.774650186664211E8
2.1202112531948462E9,1.1601799436678147E9
2.1202112531948462E9,1.5249582506046987E9
2.1202112531948462E9,8.454717167385033E8
2.1202112531948462E9,1.0192043047777655E9
2.1202112531948462E9,1.0454871112108815E9
2.1202112531948462E9,7.397122876200166E8
2.1202112531948462E9,9.249789001102695E8
2.1202112531948462E9,1.0192338703868984E9
2.1202112531948462E9,1.430748066596151E9
2.1202112531948462E9,8.807789616663593E8
2.1202112531948462E9,1.2512570655864902E9
2.1202112531948462E9,8.282127248047383E8
2.120212667101983E9,1.195496974951902E9
2.120212667101983E9,1.292990833944084E9
2.120212667101983E9,1.692985656338649E9
2.1203124032734697E9,1.7372810498805573E9
